EA or EA effec (MN),A bot-Cm2,Perimeter-Cm,L-m,L efec.-m,qc1-Mpa,fs1-Kpa,qc2-Mpa,fs2-Kpa,qc3-Mpa,fs3-kpa,qc4-Mpa,fs4-Kpa,qc5-Mpa,fs5-Kpa,qc-bot-Mpa,P-KN,Type of test_CRP,Type of test_ML,Type of pile_Composite,Type of pile_Concrete,Type of pile_Steel,Type of instalation_Bored,Type of instalation_Driven,End of Pile_Closed,End of Pile_Open
-0.40394771502380317,-1.1917430204972603,-0.4282739016090283,-1.0043376743007668,-1.0659304827243476,0.17160554864121255,-0.5562600919560727,-0.2144579565319353,-0.8111613945437477,0.9164992081563741,-0.2018154197438691,1.1138858119466502,-0.472733839759278,0.9261375414163344,-0.13741830839852862,0.5089274851441989,-0.5585715600840735,-0.5984213466347171,0.5984213466347171,-0.2519763153394848,-1.8753276867215152,2.276975051381851,-0.47498395351586453,0.47498395351586464,-1.5797633284492472,1.5797633284492472
-0.40394771502380317,-1.1917430204972603,-0.4282739016090283,-1.0043376743007668,-1.0659304827243476,0.17160554864121255,-0.5562600919560727,-0.2144579565319353,-0.8111613945437477,0.9164992081563741,-0.2018154197438691,1.1138858119466502,-0.472733839759278,0.9261375414163344,-0.13741830839852862,0.5089274851441989,-0.4294973439401528,-0.5984213466347171,0.5984213466347171,-0.2519763153394848,-1.8753276867215152,2.276975051381851,-0.47498395351586453,0.47498395351586464,-1.5797633284492472,1.5797633284492472
-0.40394771502380317,-1.1917430204972603,-0.4282739016090283,-1.0043376743007668,-1.0659304827243476,0.17160554864121255,-0.5562600919560727,-0.2144579565319353,-0.8111613945437477,0.9164992081563741,-0.2018154197438691,1.1138858119466502,-0.472733839759278,0.9261375414163344,-0.13741830839852862,0.5089274851441989,-0.39335656341985503,-0.5984213466347171,0.5984213466347171,-0.2519763153394848,-1.8753276867215152,2.276975051381851,-0.47498395351586453,0.47498395351586464,-1.5797633284492472,1.5797633284492472
0.6310667915576793,1.09742571388367,-0.1470384673405386,1.3654770051329956,2.1718137486985296,-1.0761838148182747,-0.39056770700373983,-0.7467104853272324,1.4565687320115137,-0.5694370752915358,1.1153339265548097,-0.850134173489316,-0.21244434286671782,-0.792990038071641,1.3091486237076269,-0.8322328982907785,-0.687645776227994,-0.5984213466347171,0.5984213466347171,-0.2519763153394848,0.5332401409527633,-0.4391791642131167,2.1053342804486967,-2.1053342804486967,0.6330062117479561,-0.6330062117479561
0.6310667915576793,1.09742571388367,-0.1470384673405386,1.3654770051329956,2.1718137486985296,-1.0761838148182747,-0.39056770700373983,-0.7467104853272324,1.4565687320115137,-0.5694370752915358,1.1153339265548097,-0.850134173489316,-0.21244434286671782,-0.792990038071641,1.3091486237076269,-0.8322328982907785,0.6030963852112122,-0.5984213466347171,0.5984213466347171,-0.2519763153394848,0.5332401409527633,-0.4391791642131167,2.1053342804486967,-2.1053342804486967,0.6330062117479561,-0.6330062117479561
0.6310667915576793,1.09742571388367,-0.1470384673405386,1.3654770051329956,2.1718137486985296,-1.0761838148182747,-0.39056770700373983,-0.7467104853272324,1.4565687320115137,-0.5694370752915358,1.1153339265548097,-0.850134173489316,-0.21244434286671782,-0.792990038071641,1.3091486237076269,-0.8322328982907785,2.4000676223668753,-0.5984213466347171,0.5984213466347171,-0.2519763153394848,0.5332401409527633,-0.4391791642131167,2.1053342804486967,-2.1053342804486967,0.6330062117479561,-0.6330062117479561
0.6310667915576793,1.09742571388367,-0.1470384673405386,1.3654770051329956,2.1718137486985296,-1.0761838148182747,-0.39056770700373983,-0.7467104853272324,1.4565687320115137,-0.5694370752915358,1.1153339265548097,-0.850134173489316,-0.21244434286671782,-0.792990038071641,1.3091486237076269,-0.8322328982907785,3.439373210757724,-0.5984213466347171,0.5984213466347171,-0.2519763153394848,0.5332401409527633,-0.4391791642131167,2.1053342804486967,-2.1053342804486967,0.6330062117479561,-0.6330062117479561
0.6310667915576793,1.09742571388367,-0.1470384673405386,1.3654770051329956,2.1718137486985296,-1.0761838148182747,-0.39056770700373983,-0.7467104853272324,1.4565687320115137,-0.5694370752915358,1.1153339265548097,-0.850134173489316,-0.21244434286671782,-0.792990038071641,1.3091486237076269,-0.8322328982907785,3.9590260049531487,-0.5984213466347171,0.5984213466347171,-0.2519763153394848,0.5332401409527633,-0.4391791642131167,2.1053342804486967,-2.1053342804486967,0.6330062117479561,-0.6330062117479561
0.6310667915576793,1.09742571388367,-0.1470384673405386,1.3654770051329956,2.1718137486985296,-1.0761838148182747,-0.39056770700373983,-0.7467104853272324,1.4565687320115137,-0.5694370752915358,1.1153339265548097,-0.850134173489316,-0.21244434286671782,-0.792990038071641,1.3091486237076269,-0.8322328982907785,4.4753228695288305,-0.5984213466347171,0.5984213466347171,-0.2519763153394848,0.5332401409527633,-0.4391791642131167,2.1053342804486967,-2.1053342804486967,0.6330062117479561,-0.6330062117479561
0.6310667915576793,1.09742571388367,-0.1470384673405386,1.3654770051329956,2.1718137486985296,-1.0761838148182747,-0.39056770700373983,-0.7467104853272324,1.4565687320115137,-0.5694370752915358,1.1153339265548097,-0.850134173489316,-0.21244434286671782,-0.792990038071641,1.3091486237076269,-0.8322328982907785,5.0016875229637385,-0.5984213466347171,0.5984213466347171,-0.2519763153394848,0.5332401409527633,-0.4391791642131167,2.1053342804486967,-2.1053342804486967,0.6330062117479561,-0.6330062117479561
