S-mm
3.13
28.13
57.5
0.0
4.21
10.46
14.87
16.64
18.66
20.92
30.5
32.52
0.0
6.5
9.5
13.0
0.0
2.86
11.9
29.52
52.38
106.19
137.88
0.44
0.71
1.03
2.31
0.0
1.0
3.57
8.21
5.54
8.74
10.11
11.15
14.99
15.98
0.0
4.29
5.08
6.02
7.87
0.0
0.483
1.702
2.362
3.302
4.801
0.0
0.508
3.048
3.302
4.572
5.08
5.842
7.112
8.89
8.128
7.874
20.32
50.8
66.04
0.0
0.381
1.778
2.032
2.286
3.429
3.81
4.064
4.318
5.207
5.588
6.096
6.223
6.477
6.985
7.239
7.62
8.89
9.271
9.398
0.0
0.279
2.515
9.881
10.109
10.465
0.0
0.6
4.78
6.87
7.76
9.55
11.34
15.52
0.0
1.63
5.98
8.88
28.26
35.94
0.0
11.05
16.85
25.33
32.5
41.74
0.0
1.7
8.9
13.64
23.03
40.68
0.0
1.33
10.98
17.27
26.97
35.0
47.65
0.0
3.89
5.36
7.15
11.5
18.65
24.4
26.78
3.937
6.934
7.747
8.484
9.296
10.312
2.591
3.531
4.75
6.02
7.137
8.534
13.487
0.0
3.38
13.75
31.25
62.5
1.29
2.65
3.37
5.06
6.51
11.81
26.02
68.43
7.76
9.25
12.54
15.84
23.88
35.84
0.0
12.54
15.52
19.1
49.55
80.6
0.0
2.02
2.64
4.55
11.18
23.05
1.64
2.82
5.0
6.51
8.1
10.0
20.94
2.54
3.048
2.87
2.61
3.08
3.52
0.051
0.0
3.86
1.524
1.651
0.0
12.47
1.8
36.83
2.82
4.29
0.0
9.55
1.143
1.48
8.509
5.461
1.91
2.87
3.22
7.874
0.0
0.635
2.794
3.175
2.54
5.49
6.74
0.279
0.78
12.5
1.17
0.1
0.7
0.0
5.07
0.406
3.64
0.72
0.178
4.57
9.652
0.43
6.25
29.85
18.48
6.27
0.0
0.0
0.75
1.25
2.5
18.8
0.0
3.5
5.5
14.0
84.0
0.0
4.0
9.0
31.5
66.0
0.0
4.0
6.0
23.0
40.0
0.0
2.0
4.5
9.0
12.0
0.0
1.5
3.0
4.5
11.0
18.5
0.0
1.7
4.8
9.0
16.5
20.0
0.0
0.75
2.0
3.75
7.5
9.0
11.5
0.0
0.4
1.2
2.0
6.0
7.5
0.0
1.7
4.5
19.5
0.0
1.0
3.5
6.0
22.5
50.0
0.0
3.8
8.5
30.0
100.0
0.0
0.5
1.25
2.0
7.5
19.0
0.0
2.0
2.4
14.0
32.0
75.0
0.0
1.0
5.0
8.0
16.0
37.0
0.0
1.5
4.0
8.5
24.0
60.0
0.0
0.7
3.0
11.2
24.5
0.0
1.5
2.75
5.0
10.5
37.0
0.0
1.4
2.0
13.5
58.0
0.0
1.5
3.4
6.2
21.5
52.5
0.0
1.0
1.5
3.5
28.0
0.0
0.8
2.25
5.0
7.0
27.0
0.0
1.0
2.0
4.0
8.0
0.0
1.4
2.25
16.0
34.0
0.0
1.0
2.25
3.5
6.0
31.0
0.0
2.0
6.5
13.0
46.5
0.0
1.5
2.0
4.0
9.0
18.0
0.0
1.0
2.0
2.5
5.0
8.0
18.0
0.0
1.5
3.5
8.0
12.0
0.0
1.0
2.0
3.5
4.5
11.5
27.0
